,blockid,dist_dtown,lg_den_parc,lg_den_finsqft,dum_400m,dum_800m,dum_1200m,dum_1600m,dum_2400m,dum_3200m,dum_4800m,dum_6400m,dum_8000m,year
142,1756,25344,-4.7252173,-2.4947684,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
143,1759,25608,-3.6883976,-1.4643828,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
144,1760,25736,-4.304792,-2.0447206,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
145,1761,25793,-4.380501,-1.7894361,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
146,1765,25927,-4.11289,-2.042852,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
147,1766,25871,-4.049218,-2.097395,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
148,1767,25692,-4.4796185,-2.2341058,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
149,1769,25921,-3.925673,-1.5208393,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
150,1771,26003,-3.6001232,-1.3400517,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
151,1772,26060,-3.7607052,-1.6863763,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
152,1773,26107,-3.850983,-1.8339497,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
153,1780,26134,-4.33383,-2.0858567,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
154,1781,26083,-4.2785935,-2.2293756,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
155,1786,26289,-4.1186614,-1.5377365,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
156,1788,26442,-4.025695,-1.8481585,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
157,1789,26495,-4.354416,-2.0967371,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
158,1791,26642,-4.382017,-2.3952453,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
159,1792,26596,-3.7030332,-1.5416653,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
160,1793,26713,-3.6674063,-1.5918592,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
161,1794,26744,-3.6223178,-1.5848912,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
162,1795,26753,-3.4462264,-1.4707946,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
163,1797,26365,-4.1779113,-1.3785709,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
164,1800,26335,-3.7456212,-1.4101633,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
165,1815,27435,-4.7213573,-2.6919732,0,0,0,1,0,0,0.0,0.0,0.0,1890.0
166,1816,27222,-3.6745987,-1.5985307,0,0,0,1,0,0,0.0,0.0,0.0,1890.0
167,1821,27042,-4.6094556,-2.3664176,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
168,1852,26918,-4.3257823,-2.1704464,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
169,1858,26067,-4.914402,-2.819233,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
170,1860,26352,-4.1927347,-2.132037,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
171,1861,25965,-3.8115482,-1.7029831,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
172,1867,25721,-3.7883098,-1.6122185,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
173,1874,25690,-4.033705,-2.0337052,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
174,1909,24478,-4.3316097,-2.2312388,0,0,0,0,1,0,0.0,0.0,0.0,1890.0
175,2004,23318,-4.655167,-2.3187075,0,0,0,0,0,0,1.0,0.0,0.0,1890.0
176,2573,25454,-6.037819,-4.0166297,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
177,2760,19856,-5.6227436,-3.5545576,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
178,2923,24055,-6.182342,-3.931922,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
179,2994,18450,-5.8784,-3.6019382,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
180,3592,12158,-4.808285,-2.5434675,0,0,0,0,0,0,0.0,0.0,1.0,1890.0
181,3718,9332,-4.333991,-2.1112745,0,0,0,0,0,0,1.0,0.0,0.0,1890.0
182,3805,8397,-4.8090477,-2.6049278,0,0,0,0,0,0,1.0,0.0,0.0,1890.0
183,3874,7350,-4.3059316,-2.2231462,0,0,0,0,0,1,0.0,0.0,0.0,1890.0
184,3878,6850,-4.4948363,-2.315859,0,0,0,0,0,1,0.0,0.0,0.0,1890.0
185,3891,6615,-4.3152566,-2.3514686,0,0,0,0,1,0,0.0,0.0,0.0,1890.0
186,3902,6817,-4.318001,-2.3009675,0,0,0,0,1,0,0.0,0.0,0.0,1890.0
187,3906,7214,-4.328237,-2.3196366,0,0,0,0,1,0,0.0,0.0,0.0,1890.0
188,3929,8181,-4.4308167,-2.1148462,0,0,0,0,0,0,1.0,0.0,0.0,1890.0
189,4002,41204,-6.5134373,-4.4840536,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
190,4004,43275,-6.4848075,-4.332519,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
191,4012,39565,-5.764973,-3.2639136,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
192,4014,41303,-6.272566,-4.1438437,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
193,4015,39574,-5.9920692,-3.7989445,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
194,4017,39996,-5.8905077,-3.6245112,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
195,4018,40229,-5.9110575,-3.8211522,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
196,4019,41920,-5.9226747,-3.8137717,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
197,4020,44510,-5.4592113,-3.2605543,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
198,4021,43520,-6.0084553,-3.6197329,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
199,4025,45037,-5.9744797,-3.773629,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
200,4026,44819,-4.4322796,-2.2679267,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
201,4027,45086,-4.522033,-2.2319987,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
202,4029,46553,-6.1663604,-3.963146,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
203,4030,47980,-5.84181,-3.4864223,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
204,4031,47944,-6.443409,-4.058697,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
205,4033,49050,-5.3166914,-3.31237,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
206,4036,49297,-5.6893167,-3.4666004,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
207,4038,46701,-5.9028783,-3.5911243,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
208,4040,45017,-6.4607835,-4.4651484,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
209,4041,42281,-6.1173873,-3.9751544,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
210,4044,40506,-6.1332088,-3.8544552,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
211,4045,42443,-6.4012,-4.074864,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
212,4046,44774,-6.1139855,-3.8899708,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
213,4048,45984,-5.561951,-3.1305876,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
214,4053,42661,-6.688012,-4.6627064,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
215,4057,45207,-3.8349926,-1.7857746,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
216,4063,44890,-4.4483814,-2.2665381,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
217,4064,44322,-5.46396,-3.6577802,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
218,4066,45283,-3.951459,-1.8022398,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
219,4069,45130,-4.16643,-2.1290035,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
220,4074,45142,-4.19092,-2.0355837,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
221,4081,47182,-6.1390243,-3.7376237,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
222,4083,46164,-5.126261,-2.9574692,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
223,4084,47442,-6.1152477,-4.185829,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
224,4089,46135,-4.8831162,-2.9240746,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
225,4098,45424,-4.352105,-2.1907372,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
226,4099,45671,-4.314994,-2.2876441,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
227,4105,45173,-5.6831408,-3.4900162,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
228,4114,45366,-4.4731655,-2.2690456,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
229,4116,45601,-3.8553677,-1.8321153,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
230,4119,45668,-4.2034407,-2.294956,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
231,4121,45468,-4.1758885,-2.1003416,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
232,4122,45539,-3.4614084,-1.2109885,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
233,4124,45737,-4.152258,-2.3197489,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
234,4125,45843,-4.195872,-2.0083513,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
235,4126,45859,-4.1975837,-2.0819733,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
236,4127,45974,-4.1643233,-2.0029552,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
237,4128,46042,-4.1834407,-2.2803507,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
238,4130,45773,-3.8575134,-1.6334987,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
239,4131,45705,-3.8760445,-1.6585606,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
240,4132,45606,-4.1933193,-1.9214778,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
241,4133,45674,-4.137829,-2.100402,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
242,4135,45911,-3.902547,-1.8494684,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
243,4151,50405,-6.3728123,-4.157968,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
244,4170,57068,-6.2917814,-3.9995253,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
245,4177,51185,-6.185574,-4.113692,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
246,4182,50330,-5.5032716,-3.170833,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
247,4191,55038,-5.8626037,-3.6001525,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
248,4192,54959,-5.7408924,-3.344693,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
249,4198,55859,-5.768626,-3.4361877,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
250,4206,58004,-6.0776844,-3.7520318,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
251,4211,58713,-5.8070664,-3.5715382,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
252,4214,57251,-6.2819095,-4.102933,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
253,4218,53890,-6.1224494,-3.7108297,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
254,4220,55224,-4.2749195,-2.2792842,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
255,4223,51907,-6.3289986,-4.041197,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
256,4224,52259,-5.9117284,-3.7213967,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
257,4232,55770,-4.1609783,-1.8471112,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
258,4240,49296,-5.3641176,-3.3072126,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
259,4273,53109,-5.916564,-3.8922834,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
260,4274,55595,-6.206769,-4.144814,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
261,4276,52075,-6.4700456,-3.9745011,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
262,4277,53034,-6.8388987,-4.5983496,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
263,4281,58879,-6.35833,-4.0023036,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
264,4286,59132,-5.0095444,-3.0227726,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
265,4297,53897,-6.435384,-4.2074966,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
266,4299,53975,-6.3510346,-4.1415195,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
267,4300,55750,-6.7420278,-4.554507,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
268,4302,57371,-5.8869195,-3.4382133,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
269,4308,59298,-6.395935,-4.288725,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
270,4309,58295,-6.1511016,-4.03383,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
271,4314,60395,-6.4000745,-4.292865,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
272,4330,43420,-5.5882163,-3.4006956,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
