,tractid,dist_dtown,den_parc,den_finsqft,den_line,lg_den_parc,lg_den_finsqft,tot_parc,tot_finsqft,tot_line_len,period,chg_tot_finsqft,chg_den_line,chg_den_finsqft,chg_tot_line_len
136,21,4128,0.00026313332,0.03254082,0.0001455476,-3.5798242,-1.4875715,115969,1733572.1,442741.84,8,182465.25,0.0,0.0025887303,15401.4375
137,22,2127,0.00020026053,0.043556664,0.0016512956,-3.6984046,-1.3609453,25179,387171.4,281973.1,2,,,,
138,22,2127,0.00032191412,0.06942615,0.0016512956,-3.49226,-1.158477,32109,547882.0,309384.16,3,160710.6,0.0,0.025869485,27411.062
139,22,2127,0.00054089056,0.104992874,0.0031591693,-3.2668905,-0.9788402,45857,833076.0,325355.22,4,285194.0,0.0015078738,0.035566725,15971.0625
140,22,2127,0.0006868749,0.14146008,0.0052258694,-3.1631224,-0.8493661,62637,1130090.2,389052.62,5,297014.25,0.0020667,0.036467202,63697.406
141,22,2127,0.0007486375,0.15417992,0.0052258694,-3.1257284,-0.8119722,76354,1303129.1,405158.72,6,173038.88,0.0,0.01271984,16106.094
142,22,2127,0.00082911603,0.17075427,0.0052258694,-3.0813847,-0.76762843,101258,1642341.5,427340.4,7,339212.38,0.0,0.016574353,22181.688
143,22,2127,0.0008328592,0.17152517,0.0052258694,-3.0794284,-0.76567215,115969,1825218.8,442741.84,8,182877.25,0.0,0.0007708967,15401.4375
144,24,7458,6.526942e-06,0.0005678439,0.00058295066,-5.1852903,-3.245771,62637,1130873.2,389052.62,5,,,,
145,24,7458,1.015302e-05,0.00083254767,0.00058295066,-4.993405,-3.0795908,76354,1304277.1,405158.72,6,173403.88,0.0,0.00026470376,16106.094
146,24,7458,0.00010007977,0.011981772,0.00058295066,-3.9996536,-1.921479,101258,1658863.1,427340.4,7,354586.0,0.0,0.011149225,22181.688
147,24,7458,0.0005801726,0.08253382,0.0007602006,-3.2364428,-1.0833681,115969,1939024.6,442741.84,8,280161.5,0.00017724995,0.07055205,15401.4375
148,25,1798,0.0003134852,0.06896674,0.0012622441,-3.503783,-1.1613603,25179,464831.4,281973.1,2,,,,
149,25,1798,0.00033391058,0.073460326,0.0021157204,-3.4763699,-1.1339471,32109,630602.0,309384.16,3,165770.6,0.00085347635,0.0044935867,27411.062
150,25,1798,0.0003578882,0.0787354,0.0021157204,-3.4462526,-1.10383,45857,921736.0,325355.22,4,291134.0,0.0,0.005275078,15971.0625
151,25,1798,0.00037920164,0.08342436,0.0021157204,-3.4211297,-1.0787071,62637,1224813.2,389052.62,5,303077.25,0.0,0.004688956,63697.406
152,25,1798,0.00038808223,0.08537809,0.0021157204,-3.4110763,-1.0686536,76354,1400417.1,405158.72,6,175603.88,0.0,0.0019537285,16106.094
153,25,1798,0.0003951867,0.08694108,0.0021157204,-3.4031978,-1.0607749,101258,1756763.1,427340.4,7,356346.0,0.0,0.0015629902,22181.688
